Section,Target Set,Count,Column4,Row,Col,RawDataPath,File Name[1],File Name[2],Plate Barcode,IBT Barcode,Conc1,CELL LINE,RUN,SET,notes,MetaPath,Conc,Cmpd1,Func,LIB_WELL_ID,TimePoint,CellLine,PlateID,Count_FA,Count_RZ,Count_Unit,Count_GRI
A - 1,Summary,11720,,A,1,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-099,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,1.0E-99,"""dmso""","""NEG""",0.0,0.0,0.0,28616,-0.105295421323148,2.73651960784314,-0.106156405990017,1.05655682362319
A - 2,Summary,9937,,A,2,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""dmso""","""NEG""",0.0,0.0,0.0,28616,6.28566039515255e-002,-1.63357843137255,6.33705728547659e-002,0.964159214541129
A - 3,Summary,11794,,A,3,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""GSK J4""","""SING""",18295.0,0.0,0.0,28616,-0.112274249068704,2.91789215686275,-0.113192298550036,1.06016555653604
A - 4,Summary,11280,,A,4,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""mitomycin""","""SING""",18269.0,0.0,0.0,28616,-6.3799688782006e-002,1.65808823529412,-6.43213691466603e-002,1.03475299712689
A - 5,Summary,10965,,A,5,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""GW 405833""","""SING""",18296.0,0.0,0.0,28616,-3.40925166218702e-002,0.886029411764706,-3.43712859519848e-002,1.01876354792585
A - 6,Summary,11177,,A,6,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""pifithrin-mu""","""SING""",18270.0,0.0,0.0,28616,-5.40859150280568e-002,1.40563725490196,-5.45281673401474e-002,1.02956054942217
A - 7,Summary,9468,,A,7,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""AM 580""","""SING""",18297.0,0.0,0.0,28616,0.107087282501061,-2.78308823529412,0.107962918944616,0.93788522278218
A - 8,Summary,10310,,A,8,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""CCT036477""","""SING""",18271.0,0.0,0.0,28616,2.76795397746027e-002,-0.719362745098039,2.79058711671024e-002,0.98442350243185
A - 9,Summary,10497,,A,9,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""SB 225002""","""SING""",18298.0,0.0,0.0,28616,1.00438534446173e-002,-0.261029411764706,1.0125980508676e-002,0.994384263305118
A - 10,Summary,10929,,A,10,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""CI-976""","""SING""",18272.0,0.0,0.0,28616,-3.06974112321403e-002,0.797794117647059,-3.09484193011647e-002,1.01691516918742
A - 11,Summary,10110,,A,11,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""VER 155008""","""SING""",18299.0,0.0,0.0,28616,4.65412363842128e-002,-1.20955882352941,4.69217970049917e-002,0.973624968231228
A - 12,Summary,11198,,A,12,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""etomoxir""","""SING""",18273.0,0.0,0.0,28616,-5.60663931720657e-002,1.45710784313725,-5.65248395531257e-002,1.03062199702376
A - 13,Summary,12114,,A,13,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""PF 750""","""SING""",18300.0,0.0,0.0,28616,-0.14245296364408,3.70220588235294,-0.143617779890658,1.07558546061383
A - 14,Summary,11101,,A,14,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""GW-405833""","""SING""",18274.0,0.0,0.0,28616,-4.69184703164049e-002,1.21936274509804,-4.73021155217495e-002,1.02570705179054
A - 15,Summary,11670,,A,15,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""Prochlorperazine dimaleate""","""SING""",18301.0,0.0,0.0,28616,-0.100579997170746,2.61397058823529,-0.101402424530544,1.05410917419331
A - 16,Summary,9874,,A,16,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""KHS101""","""SING""",18275.0,0.0,0.0,28616,6.87980383835526e-002,-1.78799019607843,6.9360589493701e-002,0.960682618003119
A - 17,Summary,10792,,A,17,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""PF 4800567 hydrochloride""","""SING""",18302.0,0.0,0.0,28616,-1.77771490545575e-002,0.462009803921569,-1.79225101022106e-002,1.00984063273603
A - 18,Summary,10990,,A,18,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""MST-312""","""SING""",18276.0,0.0,0.0,28616,-3.64502286980715e-002,0.947303921568627,-3.67482766817209e-002,1.02004456993858
A - 19,Summary,11007,,A,19,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""HLI 373""","""SING""",18303.0,0.0,0.0,28616,-3.80534729098883e-002,0.988970588235294,-3.83646303779415e-002,1.02091446452039
A - 20,Summary,10999,,A,20,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""PX-12""","""SING""",18277.0,0.0,0.0,28616,-3.72990050455038e-002,0.969362745098039,-3.7603993344426e-002,1.02050522319688
A - 21,Summary,11086,,A,21,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""CHM 1""","""SING""",18304.0,0.0,0.0,28616,-4.55038430706842e-002,1.18259803921569,-4.58759210839078e-002,1.02494424556865
A - 22,Summary,12838,,A,22,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""JW-74""","""SING""",18278.0,0.0,0.0,28616,-0.210732305370868,5.47671568627451,-0.212455431423817,1.10941827674315
A - 23,Summary,527,,A,23,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-005,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,1.0E-5,"""KPT330""","""DRC1""",0.0,0.0,0.0,28616,0.950299429433678,-24.6973039215686,0.958069883527454,-0.133223920917428
A - 24,Summary,10423,,A,24,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-099,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,1.0E-99,"""dmso""","""NEG""",0.0,0.0,0.0,28616,1.7022681190173e-002,-0.442401960784314,1.7161873068695e-002,0.990457999495617
B - 1,Summary,10667,,B,1,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-099,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,1.0E-99,"""dmso""","""NEG""",0.0,0.0,0.0,28616,-5.98858867355112e-003,0.155637254901961,-6.03755645352983e-003,1.00332901024693
B - 2,Summary,110,,B,2,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-005,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,1.0E-5,"""doxorubicin""","""POS""",0.0,0.0,0.0,28616,0.989626066864714,-25.719362745098,0.997718088899453,-0.439753240637058
B - 3,Summary,11383,,B,3,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""BEC""","""SING""",18079.0,0.0,0.0,28616,-7.3513462535955e-002,1.91053921568627,-7.41145709531733e-002,1.03991135008436
B - 4,Summary,11875,,B,4,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""dacarbazine""","""SING""",18187.0,0.0,0.0,28616,-0.119913236195596,3.11642156862745,-0.120893748514381,1.06409697803087
B - 5,Summary,11587,,B,5,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""dexamethasone""","""SING""",18080.0,0.0,0.0,28616,-9.27523930777574e-002,2.41053921568627,-9.35108153078203e-002,1.05002931908837
B - 6,Summary,10798,,B,6,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""oxaliplatin""","""SING""",18188.0,0.0,0.0,28616,-1.83429999528457e-002,0.47671568627451,-1.84929878773473e-002,1.01015181904952
B - 7,Summary,10685,,B,7,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""purmorphamine""","""SING""",18081.0,0.0,0.0,28616,-7.68614136841617e-003,0.199754901960784,-7.74898977893986e-003,1.00427006509991
B - 8,Summary,10400,,B,8,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""etoposide""","""SING""",18189.0,0.0,0.0,28616,1.91917763002782e-002,-0.498774509803922,1.93487045400523e-002,0.989233578557678
B - 9,Summary,11541,,B,9,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""sorafenib""","""SING""",18082.0,0.0,0.0,28616,-8.8414202857547e-002,2.29779411764706,-8.91371523651058e-002,1.04775910693419
B - 10,Summary,10277,,B,10,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""KU-0063794""","""SING""",18190.0,0.0,0.0,28616,3.07917197151883e-002,-0.800245098039216,3.10434989303542e-002,0.982652217858676
B - 11,Summary,10796,,B,11,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""manumycin A""","""SING""",18083.0,0.0,0.0,28616,-1.81543829867497e-002,0.471813725490196,-1.83028286189684e-002,1.01004810414247
B - 12,Summary,11505,,B,12,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""topotecan""","""SING""",18191.0,0.0,0.0,28616,-8.50190974678173e-002,2.20955882352941,-8.57142857142857e-002,1.04597786120689
B - 13,Summary,11821,,B,13,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""PF-750""","""SING""",18084.0,0.0,0.0,28616,-0.114820578111001,2.98406862745098,-0.115759448538151,1.06147818878936
B - 14,Summary,9884,,B,14,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run2\4x_DAPI\4x_DAPI_28616_1\4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,4x_DAPI_28616_1.2019.09.25.16.38.30.CSV,Broad-p1_map.xlsx,28616,Broad-p1,1.e-008,A2780ip2,2,2,20190916,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\PlateMaps\Broad-p1_map.xlsx,0.0,"""temozolomide""","""SING""",18192.0,0.0,0.0,28616,6.78549535530721e-002,-1.76348039215686,6.84097932018065e-002,0.961235525157844
